VIN_NO,ContractStartDate,MaturityDate,TerminationDate,SaleDate,TerminationType,PurchasedBy,PurchasingRegion,ModelYear,TrimName,ModelName,SalesChannel,CarAccident,InspectedDamage_NotRepaired,RepairCost,Odometer,PurchasePrice,MSRP
5306,2015-04-30,2019-04-30,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_6,MODEL_A,H,Mild,NULL,600,62000,17000,54000
5307,2015-09-30,2019-09-30,2019-07-31,2019-08-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_6,MODEL_A,G,No,800,NULL,79000,17000,55000
5308,2015-12-31,2019-12-31,2019-12-31,2020-01-31,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_6,MODEL_A,H,Moderate,9000,400,122000,9000,51000
5309,2015-04-30,2019-04-30,2019-04-30,2019-06-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_6,MODEL_A,H,No,1600,500,44000,19000,54000
5310,2015-04-30,2019-04-30,2019-04-30,2019-05-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_6,MODEL_A,F,Mild,NULL,NULL,35000,22000,55000
5311,2015-05-31,2019-05-31,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_6,MODEL_A,G,Major,1300,NULL,49000,18000,51000
5312,2015-04-30,2019-08-31,2019-07-31,2019-08-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_6,MODEL_A,H,No,5400,NULL,39000,18000,52000
5313,2015-03-31,2019-03-31,2018-12-31,2019-02-28,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_6,MODEL_A,H,Major,2500,700,48000,18000,51000
5314,2015-05-31,2019-05-31,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_6,MODEL_A,H,Moderate,2300,NULL,80000,17000,53000
5315,2015-08-31,2019-08-31,2019-07-31,2019-09-30,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_6,MODEL_A,H,Moderate,3300,400,74000,19000,53000
5316,2015-09-30,2019-09-30,2019-08-31,2019-11-30,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_6,MODEL_A,H,Mild,500,400,67000,18000,55000
5317,2015-04-30,2019-04-30,2018-12-31,2019-02-28,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_1,MODEL_A,H,Mild,NULL,400,54000,14000,36000
5318,2015-03-31,2019-03-31,2018-09-30,2018-09-30,Terminated Prior to Maturity Date,Independent Retailer,2,2001,TRIM_2,MODEL_A,G,Major,1400,NULL,76000,16000,43000
5319,2015-02-28,2019-02-28,2019-02-28,2019-03-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,F,No,3700,NULL,92000,15000,41000
5320,2015-01-31,2019-01-31,2019-01-31,2019-02-28,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,G,No,900,NULL,66000,16000,42000
5321,2015-03-31,2018-03-31,2018-03-31,2018-04-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,No,2600,400,85000,15000,37000
5322,2015-05-31,2019-05-31,2018-12-31,2019-03-31,Terminated Prior to Maturity Date,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,No,1700,2000,63000,17000,41000
5323,2015-05-31,2019-05-31,2017-08-31,2017-08-31,Terminated Prior to Maturity Date,Independent Retailer,2,2001,TRIM_2,MODEL_A,C,No,3000,NULL,80000,19000,43000
5324,2015-05-31,2018-08-31,2018-08-31,2018-09-30,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_2,MODEL_A,H,Moderate,1400,NULL,59000,17000,44000
5325,2015-06-30,2019-06-30,2018-04-30,2018-06-30,Terminated Prior to Maturity Date,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,Moderate,1200,400,60000,20000,41000
5326,2015-06-30,2019-06-30,2019-06-30,2019-06-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,E,Moderate,800,NULL,53000,17000,43000
5327,2015-09-30,2019-09-30,2019-05-31,2019-07-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,Moderate,2300,NULL,59000,14000,41000
5328,2015-07-31,2019-07-31,2018-11-30,2019-03-31,Terminated Prior to Maturity Date,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,Major,1100,600,68000,15000,40000
5329,2015-03-31,2018-06-30,2018-06-30,2018-10-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,No,2100,700,46000,18000,41000
5330,2015-04-30,2018-07-31,2018-07-31,2018-12-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,Major,5000,NULL,77000,16000,44000
5331,2015-03-31,2018-06-30,2018-06-30,2018-08-31,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_2,MODEL_A,H,Major,1400,500,36000,18000,44000
5332,2015-02-28,2018-02-28,2018-01-31,2018-03-31,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_2,MODEL_A,H,Moderate,600,400,29000,23000,40000
5333,2015-03-31,2018-06-30,2018-06-30,2018-07-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,E,No,1000,NULL,66000,19000,42000
5334,2015-03-31,2018-03-31,2017-10-31,2018-01-31,Reposessed,Independent Retailer,4,2001,TRIM_2,MODEL_A,H,No,NULL,2400,52000,20000,41000
5335,2015-05-31,2019-05-31,2019-01-31,2019-05-31,Terminated Prior to Maturity Date,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,No,1100,400,73000,17000,43000
5336,2015-03-31,2018-03-31,2018-04-30,2018-04-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,E,Mild,4300,NULL,85000,18000,41000
5337,2015-06-30,2019-06-30,2019-06-30,2019-07-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,G,No,900,NULL,72000,15000,41000
5338,2015-07-31,2019-07-31,2019-07-31,2019-11-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,No,NULL,500,73000,12000,44000
5339,2015-10-31,2019-01-31,2019-04-30,2019-05-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,No,NULL,NULL,57000,20000,44000
5340,2015-05-31,2018-05-31,2018-05-31,2018-08-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,No,1900,NULL,52000,18000,41000
5341,2015-04-30,2019-04-30,2017-06-30,2017-08-31,Reposessed,Independent Retailer,4,2001,TRIM_2,MODEL_A,H,Moderate,NULL,200,37000,14000,42000
5342,2015-04-30,2019-04-30,2019-04-30,2019-06-30,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,No,6800,900,106000,13000,41000
5343,2015-07-31,2019-07-31,2019-08-31,2019-08-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,F,No,1500,NULL,70000,15000,41000
5344,2015-03-31,2019-03-31,2018-12-31,2019-03-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,No,3900,NULL,95000,14000,41000
5345,2015-01-31,2019-01-31,2018-09-30,2019-01-31,Terminated Prior to Maturity Date,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,No,300,1700,63000,18000,40000
5346,2015-07-31,2019-07-31,2019-07-31,2019-07-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,E,No,1800,NULL,52000,16000,42000
5347,2015-03-31,2018-03-31,2018-03-31,2018-06-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,No,700,NULL,71000,19000,41000
5348,2015-07-31,2019-07-31,2019-04-30,2019-05-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,F,No,1200,NULL,65000,17000,43000
5349,2015-08-31,2019-08-31,2019-06-30,2019-08-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,No,400,500,75000,14000,41000
5350,2017-11-30,2024-11-30,2019-06-30,2019-07-31,Reposessed,Independent Retailer,4,2001,TRIM_2,MODEL_A,H,No,NULL,1700,61000,14000,24000
5351,2015-03-31,2019-03-31,2019-01-31,2019-01-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,G,Moderate,1500,NULL,37000,16000,41000
