VIN_NO,TYPE,COLOUR
97,Exterior Color,SILVER
98,Upholstery Type,BLACK
98,Exterior Color,WHITE
99,Upholstery Type,BLACK
99,Exterior Color,WHITE
100,Exterior Color,BLUE
100,Upholstery Type,BLACK
101,Upholstery Type,BLACK
101,Exterior Color,WHITE
102,Upholstery Type,BROWN
102,Exterior Color,BLACK
103,Upholstery Type,BLACK
103,Exterior Color,WHITE
104,Upholstery Type,BLACK
104,Exterior Color,WHITE
105,Exterior Color,GREY
105,Upholstery Type,BROWN
106,Upholstery Type,UNDEF
106,Exterior Color,UNDEF
107,Upholstery Type,BLACK
107,Exterior Color,SILVER
108,Exterior Color,SILVER
108,Upholstery Type,RED
109,Upholstery Type,BLACK
109,Exterior Color,BLACK
110,Exterior Color,BLACK
110,Upholstery Type,BLACK
111,Exterior Color,WHITE
111,Upholstery Type,BLACK
112,Upholstery Type,BROWN
112,Exterior Color,BLUE
113,Upholstery Type,BLACK
113,Exterior Color,GREY
114,Upholstery Type,RED
114,Exterior Color,BLACK
115,Upholstery Type,RED
115,Exterior Color,GREY
116,Upholstery Type,BLACK
116,Exterior Color,BLACK
117,Upholstery Type,UNDEF
117,Exterior Color,UNDEF
118,Upholstery Type,BLACK
118,Exterior Color,WHITE
119,Exterior Color,WHITE
119,Upholstery Type,BLACK
120,Upholstery Type,BLACK
120,Exterior Color,GREY
121,Upholstery Type,BLACK
121,Exterior Color,GREY
122,Exterior Color,BLACK
122,Upholstery Type,BLACK
123,Upholstery Type,BLACK
123,Exterior Color,BLACK
124,Upholstery Type,BLACK
124,Exterior Color,BLACK
125,Exterior Color,BLACK
125,Upholstery Type,BROWN
126,Exterior Color,WHITE
126,Upholstery Type,BLACK
127,Exterior Color,BLACK
127,Upholstery Type,BROWN
128,Upholstery Type,BLACK
128,Exterior Color,BLACK
129,Upholstery Type,BLACK
129,Exterior Color,BLACK
130,Exterior Color,GREY
130,Upholstery Type,BLACK
131,Exterior Color,WHITE
131,Upholstery Type,BLACK
132,Exterior Color,BLACK
132,Upholstery Type,BLACK
133,Exterior Color,WHITE
133,Upholstery Type,BLACK
134,Upholstery Type,BLACK
134,Exterior Color,BLACK
135,Exterior Color,BLACK
135,Upholstery Type,BLACK
136,Exterior Color,GREY
136,Upholstery Type,BLACK
137,Upholstery Type,BLACK
137,Exterior Color,BLACK
138,Exterior Color,WHITE
138,Upholstery Type,BLACK
139,Upholstery Type,BROWN
139,Exterior Color,GREY
140,Upholstery Type,BLACK
140,Exterior Color,BLACK
141,Upholstery Type,BROWN
141,Exterior Color,GREY
142,Upholstery Type,BLACK
142,Exterior Color,BLACK
143,Upholstery Type,BLACK
143,Exterior Color,WHITE
144,Upholstery Type,BLACK
144,Exterior Color,WHITE
145,Upholstery Type,BLACK
145,Exterior Color,WHITE
146,Exterior Color,SILVER
146,Upholstery Type,BLACK
147,Upholstery Type,BLACK
147,Exterior Color,BLACK
148,Upholstery Type,BLACK
148,Exterior Color,GREY
149,Upholstery Type,BLACK
149,Exterior Color,BLACK
150,Upholstery Type,BLACK
150,Exterior Color,UNDEF
151,Upholstery Type,BLACK
151,Exterior Color,GREY
152,Exterior Color,UNDEF
152,Upholstery Type,BLACK
153,Upholstery Type,BLACK
153,Exterior Color,BLUE
154,Exterior Color,BLUE
154,Upholstery Type,BLACK
155,Exterior Color,GREY
155,Upholstery Type,UNDEF
156,Upholstery Type,BLACK
156,Exterior Color,BLACK
157,Exterior Color,SILVER
157,Upholstery Type,BLACK
158,Upholstery Type,BLACK
158,Exterior Color,SILVER
159,Upholstery Type,UNDEF
159,Exterior Color,UNDEF
160,Upholstery Type,BLACK
160,Exterior Color,BLACK
161,Exterior Color,RED
161,Upholstery Type,BLACK
162,Upholstery Type,BLACK
162,Exterior Color,BLACK
163,Upholstery Type,BLACK
